subject,mse,mae,mape,r2
PHARMACOLOGY & TOXICOLOGY,68.02363586425781,6.281341552734375,5.5404538492275,0.9995840191841125
PHYSICS,35.65580749511719,4.477172374725342,2.020416728924369,0.9995526075363159
IMMUNOLOGY,68.82636260986328,6.556320667266846,3.95259517254103,0.9993889927864075
PLANT & ANIMAL SCIENCE,206.04298400878906,11.053227424621582,3.6840133290017034,0.9993357062339783
ENVIRONMENT ECOLOGY,244.05288696289062,10.110862731933594,1.620095078893835,0.999302327632904
MOLECULAR BIOLOGY & GENETICS,86.48328399658203,6.928036212921143,5.28273795053649,0.9992240071296692
BIOLOGY & BIOCHEMISTRY,189.36477661132812,9.8069429397583,1.6307044737757692,0.9991679787635803
MICROBIOLOGY,45.4808349609375,5.080367565155029,2.329166143426854,0.9991538524627686
AGRICULTURAL SCIENCES,141.9962615966797,8.766928672790527,2.748451100305957,0.999103844165802
COMPUTER SCIENCE,59.37239456176758,5.923173427581787,4.407328763912859,0.9990478157997131
CHEMISTRY,382.1373291015625,12.571949005126953,3.3659225903136676,0.9990031123161316
GEOSCIENCES,112.83203125,7.541260242462158,3.5522193412378127,0.9989991784095764
NEUROSCIENCE & BEHAVIOR,149.0348358154297,9.413366317749023,2.7512342449220637,0.9989456534385681
"SOCIAL SCIENCES, GENERAL",484.0211486816406,16.374914169311523,4.901073507363948,0.9989364147186279
CLINICAL MEDICINE,4409.77587890625,47.185062408447266,6.676350562223744,0.998724102973938
PSYCHIATRY PSYCHOLOGY,153.18911743164062,9.405826568603516,5.075903678061825,0.9985330104827881
ECONOMICS & BUSINESS,35.810394287109375,4.563374042510986,3.6576143357411244,0.9984967112541199
MATHEMATICS,21.012229919433594,3.5998475551605225,3.481812336094001,0.9984320402145386
MATERIALS SCIENCE,346.42462158203125,13.781580924987793,4.169423731874903,0.9983710050582886
ENGINEERING,1139.004638671875,22.78127670288086,10.134419138570259,0.9981817603111267
SPACE SCIENCE,45.288856506347656,4.670053005218506,5.313718538076596,0.9901041388511658
MULTIDISCIPLINARY,94.14707946777344,5.492434501647949,13.156290803195045,0.9749575853347778
